"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"504","Dinaromys bogdanovi",0,1460,0,1404,0,1404,0,1402,0,1402
"505","Microtus felteni",0,1243,0,1225,0,1225,0,1217,0,1217
"506","Talpa stankovici",0,1121,0,605,0,605,0,571,0,571
"507","Marmaronetta angustirostris",0,1363,0,1363,0,1363,0,1363,0,1363
"508","Gallinago stenura",0,1310,0,1310,0,1310,0,1310,0,1310
"509","Microtus gregalis",0,3209,0,3209,0,3209,0,3209,0,3209
"510","Prunella montanella",0,866,0,866,0,866,0,866,0,866
"511","Spalax zemni",0,255,0,0,0,0,0,0,0,0
"512","Allocricetulus eversmanni",0,4541,0,4541,0,4541,0,4541,0,4541
"513","Alectoris barbara",0,75,0,75,0,75,0,75,0,75
"514","Aquila adalberti",3990,0,3927,0,3924,0,3877,0,3875,0
"515","Fulica cristata",16,137,10,85,10,85,10,85,10,85
"516","Spalax arenarius",0,14,0,2,0,2,0,2,0,2
"517","Vanellus gregarius",0,158,0,158,0,158,0,158,0,158
"518","Myotis punicus",0,53,0,53,0,53,0,53,0,53
"519","Sitta whiteheadi",0,6,0,6,0,6,0,6,0,6
"520","Sylvia sarda",0,284,0,283,0,283,0,283,0,283
"521","Microtus middendorffii",0,586,0,586,0,586,0,586,0,586
"522","Chersophilus duponti",0,1710,0,1699,0,1699,0,1691,0,1691
"523","Lanius nubicus",83,196,71,166,71,166,71,166,71,166
"524","Emberiza pallasi",0,299,0,299,0,299,0,299,0,299
"525","Crocidura pachyura",0,382,0,378,0,378,0,358,0,358
"526","Lepus capensis",0,74,0,74,0,74,0,74,0,74
"527","Plecotus sardus",0,20,0,20,0,20,0,20,0,20
"528","Crocidura sicula",0,461,0,451,0,451,0,447,0,447
"529","Mesocricetus newtoni",0,1091,0,1091,0,1091,0,1091,0,1091
"530","Eptesicus bottae",0,10,0,10,0,10,0,10,0,10
