"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"169","Bonasa bonasia",0,21096,0,11607,0,11607,0,10847,0,10847
"170","Botaurus stellaris",39586,13642,37230,13241,37230,13241,36566,13082,36566,13082
"171","Bubo bubo",353998,9543,341499,9537,341316,9537,339252,9536,339033,9536
"172","Buteo lagopus",124989,2563,120777,2550,120666,2550,119496,2541,119372,2541
"173","Canis lupus",383909,0,377594,0,377581,0,376376,0,376353,0
"174","Caprimulgus europaeus",0,14068,0,13671,0,13671,0,13469,0,13469
"175","Carpodacus erythrinus",0,60339,0,59637,0,59637,0,59198,0,59198
"176","Castor fiber",0,4698,0,4663,0,4663,0,4636,0,4636
"177","Charadrius dubius",0,33741,0,33164,0,33164,0,32825,0,32825
"178","Chlidonias niger",0,5934,0,5904,0,5904,0,5873,0,5873
"179","Circaetus gallicus",35599,1690,23781,1187,23620,1187,22134,1108,21979,1108
"180","Circus aeruginosus",146901,13030,142971,12958,142811,12958,141733,12910,141550,12910
"181","Coccothraustes coccothraustes",0,72182,0,70741,0,70741,0,70116,0,70116
"182","Columba oenas",0,43370,0,42851,0,42851,0,42570,0,42570
"183","Coracias garrulus",2440,6787,1602,6360,1602,4405,1496,6259,1496,4106
"184","Crex crex",0,37921,0,36601,0,36601,0,36089,0,36089
"185","Dendrocopos leucotos",0,10070,0,10065,0,10065,0,10061,0,10061
"186","Dryocopus martius",0,9288,0,9267,0,9267,0,9254,0,9254
"187","Eliomys quercinus",554,19568,288,11369,288,11309,259,10640,259,10521
"188","Emberiza hortulana",0,72306,0,67141,0,67141,0,65868,0,65868
"189","Eptesicus nilssonii",0,6793,0,6193,0,6193,0,6057,0,6057
"190","Erinaceus roumanicus",25195,22690,23304,22638,23304,22638,23052,22625,23052,22625
"191","Falco subbuteo",145377,10876,130988,10381,130988,10381,127283,10162,127283,10162
"192","Falco vespertinus",88626,5172,87610,5169,87610,5169,87404,5169,87404,5169
"193","Ficedula hypoleuca",0,51031,0,50500,0,50500,0,50299,0,50299
"194","Ficedula parva",0,46297,0,46002,0,46002,0,45767,0,45767
"195","Galerida cristata",0,61540,0,60344,0,60344,0,59824,0,59824
"196","Gallinago media",0,20173,0,20161,0,20161,0,20160,0,20160
"197","Garrulus glandarius",175169,38428,168431,38135,168396,38135,167145,38017,167089,38017
"198","Glaucidium passerinum",107198,11118,93337,9905,93329,9905,89983,9562,89977,9562
"199","Grus grus",38705,5300,37027,5297,37027,5297,36757,5297,36757,5297
"200","Hippolais icterina",0,30310,0,29635,0,29635,0,29273,0,29273
"201","Ixobrychus minutus",33741,14734,24508,11790,24508,11790,23604,11393,23604,11393
"202","Jynx torquilla",0,38030,0,37012,0,37012,0,36446,0,36446
"203","Lanius collurio",53002,12318,46936,12253,46936,12253,46128,12209,46128,12209
"204","Limosa limosa",0,17513,0,17452,0,17452,0,17411,0,17411
"205","Locustella fluviatilis",0,18117,0,17348,0,17348,0,17135,0,17135
"206","Loxia pytyopsittacus",0,29582,0,29387,0,29387,0,29234,0,29234
"207","Lullula arborea",0,77391,0,62120,0,62120,0,60220,0,60220
"208","Luscinia luscinia",0,34543,0,34268,0,34268,0,34175,0,34175
"209","Lynx lynx",64003,0,61214,0,61214,0,60770,0,60769,0
"210","Martes foina",180845,9123,169607,9076,169100,9076,167106,9040,166506,9040
"211","Mergellus albellus",0,11355,0,10912,0,10912,0,10806,0,10806
"212","Mergus merganser",1878,13543,1707,13462,1707,12799,1683,13408,1683,12682
"213","Micromys minutus",0,100365,0,99299,0,99299,0,98889,0,98889
"214","Microtus arvalis",0,106334,0,104216,0,104216,0,103533,0,103533
"215","Microtus levis",0,54346,0,54119,0,54119,0,54036,0,54036
"216","Microtus subterraneus",0,59010,0,51834,0,51834,0,49049,0,49049
"217","Milvus migrans",144166,2724,135145,2640,135040,2640,131943,2604,131826,2604
"218","Motacilla citreola",0,32945,0,32871,0,32871,0,32809,0,32809
"219","Motacilla flava",0,98632,0,96003,0,96003,0,94689,0,94689
"220","Mustela putorius",37074,10456,32796,10419,32796,10419,32358,10387,32358,10387
"221","Myotis brandtii",0,9822,0,9766,0,9766,0,9726,0,9726
"222","Myotis dasycneme",0,3614,0,3297,0,3297,0,3247,0,3247
"223","Myotis mystacinus",0,8210,0,4581,0,4581,0,4261,0,4261
"224","Nucifraga caryocatactes",67836,11369,65316,11321,65313,11321,64911,11296,64908,11296
"225","Nyctalus noctula",0,39558,0,27243,0,27243,0,25660,0,25660
"226","Oriolus oriolus",0,24273,0,24120,0,24120,0,24019,0,24019
"227","Otus scops",97256,15243,85150,13507,85150,13507,83366,13228,83366,13228
"228","Pernis apivorus",6099,2799,5070,2767,5070,2767,4924,2746,4924,2746
"229","Phoenicurus ochruros",0,51110,0,49836,0,49836,0,49310,0,49310
"230","Phylloscopus trochiloides",0,22699,0,22477,0,22477,0,22384,0,22384
"231","Picoides tridactylus",0,11122,0,10982,0,10982,0,10896,0,10896
"232","Picus canus",0,17417,0,16910,0,16910,0,16668,0,16668
"233","Picus viridis",0,19685,0,19359,0,19359,0,19231,0,19231
"234","Pipistrellus nathusii",0,11327,0,10622,0,10622,0,10300,0,10300
"235","Pteromys volans",0,4828,0,4809,0,4809,0,4804,0,4804
"236","Remiz pendulinus",0,13120,0,11686,0,11686,0,11305,0,11305
"237","Serinus serinus",0,48077,0,46127,0,46127,0,45160,0,45160
"238","Sicista betulina",0,26906,0,22505,0,22505,0,21503,0,21503
"239","Sitta europaea",0,23909,0,23614,0,23614,0,23506,0,23506
"240","Sorex caecutiens",0,47721,0,47459,0,47459,0,47211,0,47211
"241","Streptopelia turtur",0,44244,0,42922,0,42922,0,42483,0,42483
"242","Strix uralensis",83496,5360,82393,5359,82392,5359,82192,5359,82191,5359
"243","Sus scrofa",42854,2552,37099,2547,37099,2547,36491,2544,36491,2544
"244","Sylvia nisoria",0,27786,0,27669,0,27669,0,27601,0,27601
"245","Tringa ochropus",0,28640,0,28279,0,28279,0,28028,0,28028
"246","Upupa epops",0,18293,0,17895,0,17895,0,17720,0,17720
"247","Ursus arctos",23969,0,23393,0,23393,0,23329,0,23329,0
"248","Xenus cinereus",0,14586,0,14575,0,14575,0,14575,0,14575
"249","Anser albifrons",0,2761,0,2753,0,2753,0,2748,0,2748
"250","Anser fabalis",0,6913,0,6877,0,6877,0,6852,0,6852
"251","Branta leucopsis",0,785,0,769,0,769,0,762,0,762
"252","Calcarius lapponicus",0,21530,0,20604,0,20604,0,20437,0,20437
"253","Calidris minuta",0,3476,0,3433,0,3433,0,3433,0,3433
"254","Cygnus columbianus",0,839,0,823,0,823,0,818,0,818
"255","Dicrostonyx torquatus",0,2756,0,2756,0,2756,0,2756,0,2756
"256","Lemmus sibiricus",0,3261,0,3261,0,3261,0,3261,0,3261
"257","Pagophila eburnea",0,570,0,570,0,570,0,570,0,570
"258","Phalaropus fulicarius",0,129,0,129,0,129,0,129,0,129
"259","Rangifer tarandus",0,1440,0,1439,0,1439,0,1439,0,1439
"260","Somateria spectabilis",0,1692,0,1692,0,1692,0,1692,0,1692
"261","Stercorarius longicaudus",13020,1782,13013,1782,13013,1782,13010,1782,13010,1782
"262","Ursus maritimus",2138,0,2138,0,2138,0,2138,0,2138,0
"263","Aegypius monachus",0,0,0,0,0,0,0,0,0,0
"264","Alectoris rufa",0,4489,0,4200,0,4200,0,4094,0,4094
"265","Anthus spinoletta",0,29424,0,27199,0,27199,0,26162,0,26162
"266","Ardea purpurea",22390,4744,18938,4720,18938,4720,18533,4701,18533,4701
"267","Arvicola sapidus",0,18783,0,18139,0,18139,0,17847,0,17847
"268","Arvicola scherman",0,18155,0,17580,0,17580,0,17339,0,17339
"269","Barbastella barbastellus",0,10443,0,9932,0,9932,0,9599,0,9599
"270","Certhia brachydactyla",0,6012,0,4564,0,4564,0,4179,0,4179
"271","Cettia cetti",0,7904,0,7237,0,7237,0,6893,0,6893
"272","Chionomys nivalis",0,13702,0,1277,0,1277,0,1093,0,1093
"273","Circus pygargus",85214,7404,77118,7122,77118,7122,74982,6990,74982,6990
"274","Cisticola juncidis",0,12178,0,11597,0,11597,0,11326,0,11326
"275","Clamator glandarius",0,1475,0,1406,0,1406,0,1392,0,1392
"276","Crocidura russula",0,20900,0,19778,0,19778,0,19323,0,19323
"277","Crocidura suaveolens",0,60770,0,50139,0,50139,0,48427,0,48427
"278","Egretta garzetta",9795,6709,9413,6645,9413,6645,9345,6595,9345,6595
"279","Emberiza cia",0,23609,0,23091,0,23091,0,22822,0,22822
"280","Emberiza cirlus",0,24942,0,19605,0,19605,0,18278,0,18278
"281","Eptesicus serotinus",0,15924,0,11718,0,11718,0,11302,0,11302
"282","Galemys pyrenaicus",0,1129,0,191,0,191,0,126,0,126
"283","Genetta genetta",31170,675,24756,622,24701,622,22606,584,22549,584
"284","Glis glis",0,23192,0,22602,0,22602,0,22141,0,22141
"285","Gypaetus barbatus",0,0,0,0,0,0,0,0,0,0
"286","Hieraaetus pennatus",42062,0,34991,0,34991,0,33610,0,33610,0
"287","Himantopus himantopus",0,11085,0,8168,0,8168,0,7884,0,7884
"288","Hippolais polyglotta",0,6097,0,4858,0,4858,0,4325,0,4325
"289","Lanius meridionalis",20770,1266,19424,1265,19424,1265,19118,1262,19118,1262
"290","Lanius senator",49358,3142,39736,2661,39736,2661,36558,2459,36558,2459
"291","Luscinia megarhynchos",0,27763,0,26547,0,26547,0,26010,0,26010
"292","Marmota marmota",0,755,0,708,0,708,0,655,0,655
"293","Merops apiaster",0,4128,0,3973,0,3973,0,3891,0,3891
"294","Microtus duodecimcostatus",0,12111,0,7864,0,7864,0,7211,0,7211
"295","Microtus gerbei",0,4047,0,3053,0,3053,0,2397,0,2397
"296","Microtus lusitanicus",0,4869,0,4657,0,4657,0,4609,0,4609
"297","Miniopterus schreibersii",0,3061,0,1490,0,1490,0,1285,0,1285
"298","Monticola saxatilis",0,7190,0,7080,0,7080,0,6999,0,6999
"299","Montifringilla nivalis",0,2931,0,2824,0,2824,0,2791,0,2791
"300","Myotis alcathoe",0,639,0,607,0,607,0,590,0,590
"301","Myotis bechsteinii",0,4681,0,3299,0,3299,0,2999,0,2999
"302","Myotis blythii",0,4437,0,3772,0,3772,0,3605,0,3605
"303","Myotis emarginatus",0,1562,0,887,0,887,0,834,0,834
"304","Myotis myotis",0,11512,0,10088,0,10088,0,9426,0,9426
"305","Neomys anomalus",0,27410,0,21022,0,21022,0,19715,0,19715
"306","Nyctalus lasiopterus",13405,3158,12735,2967,12735,2967,12408,2873,12408,2873
"307","Nyctalus leisleri",0,11658,0,8364,0,8364,0,8041,0,8041
"308","Nycticorax nycticorax",24509,5950,20438,5835,20438,5835,19872,5766,19872,5766
"309","Oenanthe leucura",0,2771,0,2743,0,2743,0,2720,0,2720
"310","Phylloscopus bonelli",0,6417,0,5951,0,5951,0,5785,0,5785
"311","Pipistrellus kuhlii",0,6393,0,3396,0,3396,0,3124,0,3124
"312","Plecotus austriacus",0,7078,0,4694,0,4694,0,4364,0,4364
"313","Prunella collaris",0,8038,0,7573,0,7573,0,7264,0,7264
"314","Pyrrhocorax graculus",6661,1808,5157,1783,5157,1783,5013,1778,5013,1778
"315","Pyrrhocorax pyrrhocorax",6181,2104,4926,2098,4926,2098,4770,2093,4770,2093
"316","Rhinolophus euryale",0,2437,0,257,0,257,0,237,0,237
"317","Rhinolophus ferrumequinum",0,7870,0,6613,0,6613,0,6117,0,6117
"318","Rhinolophus hipposideros",0,5403,0,4023,0,4023,0,3738,0,3738
"319","Rupicapra pyrenaica",0,44,0,22,0,22,0,20,0,20
"320","Sorex coronatus",0,13759,0,563,0,563,0,535,0,535
"321","Suncus etruscus",0,17950,0,11634,0,11634,0,10981,0,10981
"322","Sylvia undata",0,7308,0,6898,0,6898,0,6774,0,6774
"323","Tadarida teniotis",0,3569,0,2112,0,2112,0,1937,0,1937
"324","Tichodroma muraria",0,4266,0,4063,0,4063,0,3970,0,3970
"325","Alectoris chukar",0,1718,0,1705,0,1705,0,1701,0,1701
"326","Apodemus mystacinus",0,672,0,672,0,672,0,672,0,672
"327","Apodemus witherbyi",0,5341,0,5339,0,5339,0,5339,0,5339
"328","Aquila heliaca",48428,0,47713,0,47706,0,47608,0,47600,0
"329","Ardeola ralloides",804,3073,379,2723,379,2128,330,2649,330,1974
"330","Burhinus oedicnemus",12432,6133,11537,5899,11537,5899,11179,5746,11179,5746
"331","Buteo rufinus",20479,464,19295,442,19295,442,18931,435,18931,435
"332","Calandrella brachydactyla",0,32139,0,31603,0,31603,0,31389,0,31389
"333","Canis aureus",43370,506,42499,506,42495,506,42350,506,42342,506
"334","Carpodacus rubicilla",0,518,0,518,0,518,0,518,0,518
"335","Charadrius alexandrinus",0,7450,0,7443,0,7443,0,7429,0,7429
"336","Chlidonias leucopterus",0,3801,0,3792,0,3792,0,3786,0,3786
"337","Cricetulus migratorius",0,29955,0,29658,0,29658,0,29326,0,29326
"338","Crocidura leucodon",0,41210,0,39366,0,39366,0,38403,0,38403
"339","Dryomys nitedula",0,13428,0,9875,0,9875,0,9170,0,9170
"340","Falco cherrug",56447,938,55621,938,55554,938,55486,938,55405,938
"341","Falco naumanni",6306,2495,6052,2467,6052,2467,5907,2431,5907,2431
"342","Ficedula semitorquata",0,3002,0,2997,0,2997,0,2990,0,2990
"343","Lanius minor",11398,5380,10649,5024,10649,5024,10503,4934,10503,4934
"344","Melanocorypha calandra",0,28191,0,27826,0,27826,0,27716,0,27716
"345","Mesocricetus raddei",0,3240,0,3240,0,3240,0,3240,0,3240
"346","Monticola solitarius",0,6771,0,6703,0,6703,0,6667,0,6667
"347","Mustela eversmanii",40607,4553,39716,4550,39716,4550,39524,4546,39524,4546
"348","Myotis aurascens",0,184,0,127,0,127,0,114,0,114
"349","Oenanthe hispanica",0,10987,0,8738,0,8738,0,8358,0,8358
"350","Oenanthe isabellina",0,7071,0,7070,0,7070,0,7070,0,7070
"351","Petronia petronia",0,13470,0,12917,0,12917,0,12652,0,12652
"352","Phylloscopus sindianus",0,538,0,538,0,538,0,538,0,538
"353","Plecotus macrobullaris",0,302,0,301,0,301,0,298,0,298
"354","Rhinolophus mehelyi",0,619,0,605,0,605,0,594,0,594
"355","Rupicapra rupicapra",0,479,0,387,0,387,0,365,0,365
"356","Serinus pusillus",0,813,0,813,0,813,0,813,0,813
"357","Sicista strandi",0,6517,0,6347,0,6347,0,6245,0,6245
"358","Tadorna ferruginea",0,7561,0,7557,0,7557,0,7555,0,7555
"359","Talpa levantis",0,1988,0,1988,0,1988,0,1987,0,1987
"360","Tetraogallus caucasicus",0,280,0,280,0,280,0,280,0,280
"361","Vormela peregusna",14844,1181,14569,1181,14569,1181,14536,1181,14536,1181
"362","Acrocephalus paludicola",0,710,0,706,0,706,0,706,0,706
"363","Aythya nyroca",0,18391,0,18290,0,18290,0,18240,0,18240
"364","Chlidonias hybrida",0,1377,0,1368,0,1368,0,1348,0,1348
"365","Locustella luscinioides",0,15747,0,15397,0,15397,0,15243,0,15243
"366","Microtus oeconomus",0,79365,0,79023,0,79023,0,78889,0,78889
"367","Muscardinus avellanarius",0,30094,0,24169,0,24169,0,22859,0,22859
"368","Panurus biarmicus",0,11010,0,10810,0,10810,0,10623,0,10623
"369","Accipiter brevipes",13292,1830,13255,1829,13252,1829,13239,1829,13234,1829
"370","Allactaga major",0,14762,0,14762,0,14762,0,14762,0,14762
"371","Anthropoides virgo",0,1215,0,1215,0,1215,0,1215,0,1215
"372","Capreolus pygargus",0,918,0,918,0,918,0,918,0,918
"373","Circus macrourus",68199,4211,67378,4203,67378,4203,67223,4203,67223,4203
"374","Cricetus cricetus",0,40676,0,40480,0,40480,0,40417,0,40417
"375","Cuculus saturatus",0,2561,0,2561,0,2561,0,2561,0,2561
"376","Dendrocopos syriacus",818,3855,707,3845,707,3294,677,3845,677,3143
"377","Desmana moschata",0,8130,0,8120,0,8120,0,8117,0,8117
"378","Emberiza aureola",0,27124,0,27038,0,27038,0,27035,0,27035
"379","Ficedula albicollis",0,20303,0,19903,0,19903,0,19758,0,19758
"380","Glareola nordmanni",0,2523,0,2523,0,2523,0,2523,0,2523
"381","Lagurus lagurus",0,18817,0,18815,0,18815,0,18814,0,18814
"382","Mustela lutreola",3525,1486,3380,1486,3380,1486,3366,1486,3366,1486
"383","Oenanthe pleschanka",0,8141,0,8140,0,8140,0,8140,0,8140
"384","Otis tarda",12028,1509,11425,1497,11425,1497,11294,1492,11294,1492
"385","Pygeretmus pumilio",0,3274,0,2711,0,2711,0,2514,0,2514
"386","Sicista subtilis",0,6369,0,6369,0,6369,0,6369,0,6369
"387","Spalax microphthalmus",0,1350,0,115,0,115,0,83,0,83
"388","Spermophilus pygmaeus",0,5987,0,5985,0,5985,0,5985,0,5985
"389","Spermophilus suslicus",0,874,0,545,0,545,0,479,0,479
"390","Tetrax tetrax",0,7558,0,6766,0,6766,0,6654,0,6654
"391","Tringa stagnatilis",0,9816,0,9775,0,9775,0,9749,0,9749
"392","Ellobius talpinus",0,13927,0,10167,0,10167,0,9705,0,9705
"393","Myodes rufocanus",0,29960,0,29959,0,29959,0,29957,0,29957
"394","Myodes rutilus",0,29024,0,29024,0,29024,0,29024,0,29024
"395","Oxyura leucocephala",0,2414,0,2404,0,2404,0,2403,0,2403
"396","Perisoreus infaustus",28975,6811,28829,6811,28829,6811,28791,6811,28791,6811
"397","Pinicola enucleator",0,22408,0,22377,0,22377,0,22368,0,22368
"398","Prunella atrogularis",0,1268,0,1268,0,1268,0,1268,0,1268
"399","Recurvirostra avosetta",0,4975,0,4956,0,4956,0,4941,0,4941
"400","Sorex isodon",0,27828,0,27742,0,27742,0,27712,0,27712
"401","Sorex minutissimus",0,42670,0,42533,0,42533,0,42480,0,42480
"402","Sorex tundrensis",0,5516,0,5420,0,5420,0,5420,0,5420
"403","Spermophilus major",0,2591,0,88,0,88,0,88,0,88
"404","Surnia ulula",72045,5249,71785,5247,71784,5247,71713,5247,71712,5247
"405","Tarsiger cyanurus",0,3951,0,3951,0,3951,0,3951,0,3951
"406","Calidris temminckii",0,5789,0,5789,0,5789,0,5787,0,5787
"407","Falco rusticolus",47690,728,47488,728,47488,728,47412,727,47412,727
"408","Gulo gulo",44585,0,44356,0,44356,0,44330,0,44330,0
"409","Lemmus lemmus",0,9100,0,9099,0,9099,0,9098,0,9098
"410","Anser erythropus",0,3968,0,3948,0,3948,0,3939,0,3939
"411","Emberiza pusilla",0,14195,0,14195,0,14195,0,14195,0,14195
"412","Emberiza rustica",0,19591,0,19541,0,19541,0,19534,0,19534
"413","Loxia leucoptera",0,14562,0,14562,0,14562,0,14539,0,14539
"414","Mus musculus",0,2185,0,2185,0,2185,0,2185,0,2185
"415","Myopus schisticolor",0,24079,0,24066,0,24066,0,24056,0,24056
"416","Phylloscopus borealis",0,9106,0,9090,0,9090,0,9073,0,9073
"417","Strix nebulosa",73762,4579,73117,4577,73114,4577,72983,4577,72980,4577
"418","Tringa erythropus",0,6877,0,6658,0,6658,0,6566,0,6566
"419","Alectoris graeca",0,3475,0,3420,0,3420,0,3396,0,3396
"420","Emberiza melanocephala",0,10125,0,10038,0,10038,0,9978,0,9978
"421","Acrocephalus agricola",0,2623,0,2623,0,2623,0,2623,0,2623
"422","Acrocephalus melanopogon",0,3581,0,3533,0,3533,0,3516,0,3516
"423","Allactaga elater",0,1659,0,1659,0,1659,0,1659,0,1659
"424","Aquila nipalensis",5534,0,5400,0,5400,0,5381,0,5381,0
