"","SPECIES","GRIDS LOST FROM START TO PRIMARY EXTINCTIONS","GRIDS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS","GRIDS LOST FROM START TO PRIMARY FUTURE","GRIDS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE"
"388","Spermophilus pygmaeus",0,0,0,0
"389","Spermophilus suslicus",135,0,166,0
"390","Tetrax tetrax",153,0,168,0
"391","Tringa stagnatilis",4,0,7,0
"392","Ellobius talpinus",113,0,127,0
"393","Myodes rufocanus",0,0,0,0
"394","Myodes rutilus",0,0,0,0
"395","Oxyura leucocephala",0,0,0,0
"396","Perisoreus infaustus",0,0,0,0
"397","Pinicola enucleator",1,0,1,0
"398","Prunella atrogularis",0,0,0,0
"399","Recurvirostra avosetta",1,0,3,0
"400","Sorex isodon",2,0,3,0
"401","Sorex minutissimus",3,0,4,0
"402","Sorex tundrensis",3,0,3,0
"403","Spermophilus major",169,0,169,0
"404","Surnia ulula",0,0,0,0
"405","Tarsiger cyanurus",0,0,0,0
"406","Calidris temminckii",0,0,0,0
"407","Falco rusticolus",0,0,1,0
"408","Gulo gulo",1,0,1,0
"409","Lemmus lemmus",0,0,0,0
"410","Anser erythropus",5,0,7,0
"411","Emberiza pusilla",0,0,0,0
"412","Emberiza rustica",2,0,2,0
"413","Loxia leucoptera",0,0,1,0
"414","Mus musculus",0,0,0,0
"415","Myopus schisticolor",0,0,0,0
"416","Phylloscopus borealis",1,0,2,0
"417","Strix nebulosa",0,0,0,0
"418","Tringa erythropus",26,0,37,0
"419","Alectoris graeca",0,0,0,0
"420","Emberiza melanocephala",2,0,4,0
"421","Acrocephalus agricola",0,0,0,0
"422","Acrocephalus melanopogon",3,0,3,0
"423","Allactaga elater",0,0,0,0
"424","Aquila nipalensis",0,0,0,0
"425","Bubulcus ibis",1,0,2,0
"426","Emberiza bruniceps",0,0,0,0
"427","Felis chaus",0,0,0,0
"428","Gelochelidon nilotica",53,0,63,0
"429","Glareola pratincola",4,0,6,0
"430","Hemiechinus auritus",0,0,0,0
"431","Meriones meridianus",0,0,0,0
"432","Meriones tamariscinus",0,0,0,0
"433","Microtus socialis",0,0,0,0
"434","Netta rufina",7,0,8,0
"435","Pelecanus crispus",0,0,0,0
"436","Platalea leucorodia",4,0,5,0
"437","Plegadis falcinellus",0,0,0,0
"438","Porphyrio porphyrio",0,0,0,0
"439","Stylodipus telum",0,0,1,0
"440","Sylvia mystacea",0,0,0,0
"441","Vulpes corsac",0,0,0,0
"442","Mus spicilegus",0,0,0,0
"443","Spermophilus citellus",5,0,7,0
"444","Marmota bobak",0,0,0,0
"445","Spermophilus fulvus",0,0,0,0
"446","Apus pallidus",7,0,8,0
"447","Falco biarmicus",2,0,3,0
"448","Hystrix cristata",0,0,0,0
"449","Microtus savii",2,0,4,0
"450","Myotis capaccinii",80,0,109,0
"451","Passer italiae",0,0,0,0
"452","Sorex antinorii",128,0,132,0
"453","Sorex samniticus",73,0,73,0
"454","Sylvia cantillans",7,0,9,0
"455","Sylvia conspicillata",3,0,5,0
"456","Sylvia hortensis",1,0,1,0
"457","Sylvia melanocephala",16,0,25,0
"458","Talpa caeca",64,0,72,0
"459","Talpa romana",47,0,47,0
"460","Sicista severtzovi",2,0,3,0
"461","Pelecanus onocrotalus",0,0,0,0
"462","Saiga tatarica",0,0,0,0
"463","Falco eleonorae",0,0,0,0
"464","Anthus cervinus",15,0,15,0
"465","Apodemus epimelas",1,0,1,0
"466","Cercotrichas galactotes",12,0,23,0
"467","Emberiza caesia",1,0,1,0
"468","Hippolais olivetorum",1,0,1,0
"469","Microtus guentheri",0,0,0,0
"470","Microtus thomasi",0,0,0,0
"471","Mus macedonicus",0,0,0,0
"472","Passer hispaniolensis",0,0,0,0
"473","Plecotus kolombatovici",3,0,11,0
"474","Rhinolophus blasii",193,0,195,0
"475","Sitta neumayer",1,0,1,0
"476","Locustella lanceolata",0,0,0,0
"477","Sorex alpinus",282,0,285,0
"478","Apodemus alpicola",0,0,0,0
"479","Capra ibex",21,0,21,0
"480","Calidris alba",5,0,7,0
"481","Polysticta stelleri",0,0,0,0
"482","Spalax graecus",39,0,39,0
"483","Caprimulgus ruficollis",2,0,2,0
"484","Elanus caeruleus",13,0,17,0
"485","Galerida theklae",1,0,1,0
"486","Herpestes ichneumon",4,0,5,0
"487","Lepus granatensis",1,0,2,0
"488","Microtus cabrerae",3,0,4,0
"489","Mus spretus",0,0,0,0
"490","Sturnus unicolor",8,0,13,0
"491","Talpa occidentalis",110,0,137,0
"492","Branta bernicla",1,0,1,0
"493","Anthus hodgsoni",0,0,0,0
"494","Emberiza leucocephalos",0,0,0,0
"495","Martes zibellina",0,0,0,0
"496","Mustela sibirica",0,0,0,0
"497","Phylloscopus inornatus",0,0,0,0
"498","Lepus corsicanus",0,0,0,0
"499","Microtus brachycercus",2,0,2,0
"500","Microtus multiplex",23,0,28,0
"501","Capra pyrenaica",7,0,11,0
"502","Lepus castroviejoi",0,0,0,0
"503","Sorex granarius",31,0,36,0
"504","Dinaromys bogdanovi",2,0,2,0
"505","Microtus felteni",0,0,0,0
"506","Talpa stankovici",18,0,19,0
"507","Marmaronetta angustirostris",0,0,0,0
"508","Gallinago stenura",0,0,0,0
"509","Microtus gregalis",0,0,0,0
"510","Prunella montanella",0,0,0,0
"511","Spalax zemni",92,0,92,0
"512","Allocricetulus eversmanni",0,0,0,0
"513","Alectoris barbara",0,0,0,0
"514","Aquila adalberti",0,0,1,0
"515","Fulica cristata",6,0,6,0
"516","Spalax arenarius",6,0,6,0
"517","Vanellus gregarius",0,0,0,0
"518","Myotis punicus",0,0,0,0
"519","Sitta whiteheadi",0,0,0,0
"520","Sylvia sarda",0,0,0,0
"521","Microtus middendorffii",0,0,0,0
"522","Chersophilus duponti",0,0,0,0
"523","Lanius nubicus",8,0,8,0
"524","Emberiza pallasi",0,0,0,0
"525","Crocidura pachyura",0,0,1,0
"526","Lepus capensis",0,0,0,0
"527","Plecotus sardus",0,0,0,0
"528","Crocidura sicula",0,0,0,0
"529","Mesocricetus newtoni",0,0,0,0
"530","Eptesicus bottae",0,0,0,0
"531","Erinaceus concolor",0,0,0,0
"532","Meriones tristrami",0,0,0,0
"533","Oenanthe finschii",0,0,0,0
"534","Sciurus anomalus",0,0,0,0
"535","Dipus sagitta",0,0,1,0
"536","Bucanetes githagineus",0,0,0,0
"537","Sitta krueperi",0,0,0,0
"538","Microtus tatricus",0,0,0,0
"539","Diplomesodon pulchellum",0,0,0,0
"540","Spalax giganteus",0,0,0,0
"541","Hippolais languida",0,0,0,0
"542","Irania gutturalis",0,0,0,0
"543","Rousettus aegyptiacus",0,0,0,0
"544","Acomys minous",0,0,0,0
"545","Crocidura zimmermanni",0,0,0,0
"546","Myomimus roachi",0,0,0,0
"547","Microtus bavaricus",0,0,0,0
"548","Lynx pardinus",0,0,0,0
"549","Emberiza cineracea",0,0,0,0
"550","Bison bonasus",0,0,0,0
"551","Charadrius leschenaultii",0,0,0,0
"552","Atelerix algirus",0,0,0,0
"553","Tetraogallus caspius",0,0,0,0
"554","Francolinus francolinus",0,0,0,0
