"","grid","START","AFTER PRIMMARY EXTINCTIONS","AFTER SECONDARY EXTINCTIONS","FUTURE AFTER PRIMMARY EXTINCTIONS","FUTURE AFTER SECONDARY EXTINCTIONS"
"463","3752",2015,0.15136476426799,0.00350877192982456,0.200496277915633,0.0037243947858473
"464","3051",2496,0.142628205128205,0,0.16786858974359,0.00288878189696678
"465","3938",2954,0.000677048070412999,0,0.0044008124576845,0
"466","4041",1864,0.0177038626609442,0,0.0177038626609442,0
"467","2545",2008,0,0,0,0
"468","2819",2135,0.0674473067915691,0.00150678051230537,0.0697892271662763,0.00151057401812689
"469","786",1593,0.00564971751412429,0,0.00564971751412429,0
"470","2031",2738,0.00365230094959825,0,0.00365230094959825,0
"471","481",2236,0,0,0,0
"472","4683",1227,0,0,0,0
"473","177",80,0,0,0,0
"474","792",1934,0,0,0,0
"475","3336",1666,0.231692677070828,0.00390625,0.277310924369748,0.00415282392026578
"476","2360",1475,0.169491525423729,0.00979591836734694,0.194576271186441,0.0101010101010101
"477","2898",2280,0.0697368421052632,0.00141442715700141,0.0697368421052632,0.00141442715700141
"478","2395",2790,0.0010752688172043,0,0.00501792114695341,0
"479","3950",1452,0.0213498622589532,0,0.0213498622589532,0
"480","2275",2753,0.00108972030512169,0,0.00108972030512169,0
"481","4338",2724,0.216226138032305,0.00140515222482436,0.23201174743025,0.001434034416826
"482","3784",2348,0.053236797274276,0.00314889788573999,0.0600511073253833,0.00543724512913457
"483","1916",2537,0.00157666535277887,0,0.00157666535277887,0
"484","1689",2940,0.00340136054421769,0,0.00340136054421769,0
"485","2086",2944,0.0703125,0,0.0971467391304348,0
"486","1139",2527,0,0,0,0
"487","3828",2425,0.0560824742268041,0.00349497597204019,0.0655670103092783,0.00353045013239188
"488","1314",1998,0.0545545545545546,0,0.0545545545545546,0
"489","3906",2179,0.316200091785223,0.00402684563758389,0.372189077558513,0.0043859649122807
"490","3043",2411,0.146827042720863,0,0.161758606387391,0.00296882731321128
"491","1566",2582,0.00619674670797831,0,0.00619674670797831,0
"492","412",1131,0,0,0,0
"493","546",1530,0,0,0,0
"494","3780",2748,0.0585880640465793,0.0054116737533823,0.0607714701601164,0.00309957380860132
"495","3710",2442,0.323505323505324,0.00605326876513317,0.427927927927928,0.00715819613457409
"496","734",1602,0,0,0.00561797752808989,0
"497","4156",2033,0.282341367437285,0.00411240575736806,0.29513034923758,0.00418702023726448
"498","101",2,0,0,0,0
"499","1515",1576,0.00444162436548223,0,0.00444162436548223,0
"500","3497",1812,0.269867549668874,0.00680272108843537,0.303532008830022,0.00713153724247227
"501","2440",2589,0.0332174584781769,0.00119856172592889,0.0332174584781769,0.00119856172592889
"502","1403",2675,0,0,0,0
"503","3133",3044,0.0371222076215506,0.00102354145342886,0.0427069645203679,0.00102951269732327
"504","1208",2621,0,0,0,0
"505","2141",2983,0,0,0,0
"506","1530",1657,0,0,0,0
"507","524",2237,0,0,0,0
"508","1107",1889,0,0,0,0
"509","1215",2729,0.0047636496885306,0,0.0047636496885306,0
"510","3154",2509,0,0,0,0
"511","2755",3109,0,0,0.00353811514956578,0
"512","4228",3218,0.0133623368551896,0.0015748031496063,0.0254816656308266,0.00159438775510204
"513","2991",3111,0.0392156862745098,0.00100368016058883,0.0433944069431051,0.00100806451612903
"514","4450",2906,0.0550584996558844,0.00145666423889294,0.0774260151410874,0.00372995151063036
"515","1212",2714,0.00405305821665438,0,0.00405305821665438,0
"516","3294",3071,0.017909475740801,0.0013262599469496,0.017909475740801,0.0013262599469496
"517","698",2232,0,0,0,0
"518","3606",2647,0.0536456365697015,0.00119760479041916,0.0596902153381186,0.00321414222579349
"519","4199",3216,0.268345771144279,0.00679983000424989,0.329912935323383,0.0074245939675174
"520","1450",1362,0,0,0,0
"521","464",1608,0,0,0,0
"522","2211",2780,0.00467625899280576,0,0.00467625899280576,0
"523","1242",1714,0.00525087514585764,0,0.00525087514585764,0
"524","127",79,0,0,0,0
"525","3479",2792,0.00214899713467049,0,0.00214899713467049,0
"526","4316",3121,0.0147388657481576,0.0016260162601626,0.0160205062479974,0.00162813415825464
"527","1862",1363,0,0,0,0
"528","1232",1446,0.0366528354080221,0,0.0366528354080221,0
"529","2740",2157,0.066759388038943,0.0014903129657228,0.0690774223458507,0.00149402390438247
"530","3224",2569,0.0151810042818217,0,0.0151810042818217,0
"531","3702",2245,0.150556792873051,0,0.177728285077951,0.00325027085590466
"532","1248",1998,0.0365365365365365,0,0.0365365365365365,0
"533","3849",2057,0.160913952357803,0.00289687137891078,0.167719980554205,0.00292056074766355
"534","2293",690,0.0289855072463768,0,0.0289855072463768,0
"535","741",1935,0,0,0,0
"536","1395",2679,0,0,0,0
"537","1451",1998,0.0035035035035035,0,0.0035035035035035,0
"538","1429",2606,0.00613967766692249,0,0.00613967766692249,0
"539","2263",3007,0.0305952776854007,0,0.0305952776854007,0
"540","3060",2556,0.0324726134585289,0.00121310149615851,0.0446009389671361,0.00122850122850123
"541","1338",2850,0,0,0,0
"542","1199",2595,0,0,0,0
"543","256",1293,0,0,0,0
"544","3982",1126,0,0,0,0
"545","186",772,0,0,0,0
"546","1738",1499,0.0547031354236157,0.00423429781227946,0.0900600400266845,0.00366568914956012
"547","2870",1291,0.56855151045701,0.0161579892280072,0.687838884585593,0.0148883374689826
"548","2489",1436,0.0766016713091922,0.00226244343891403,0.0967966573816156,0.0023130300693909
"549","459",1235,0,0,0,0
"550","515",1849,0,0,0,0
"551","3822",3510,0.346723646723647,0.00828608809419974,0.371225071225071,0.00860897145446307
"552","3140",2688,0.0193452380952381,0.00151745068285281,0.0334821428571429,0.00153964588144727
"553","4634",1844,0.0737527114967462,0,0.0835140997830803,0
"554","1906",2855,0,0,0.00350262697022767,0
"555","503",1292,0,0,0,0
"556","213",795,0,0,0,0
"557","2507",2232,0.0573476702508961,0.00142585551330798,0.0645161290322581,0.0014367816091954
"558","1646",2350,0.00680851063829787,0,0.00680851063829787,0
"559","3003",2472,0.0772653721682848,0.00745287154756686,0.0796925566343042,0.00483516483516484
"560","2779",1955,0,0,0,0
"561","3075",2750,0.000727272727272727,0,0.000727272727272727,0
"562","4255",225,0,0,0,0
"563","753",2046,0,0,0,0
"564","1461",2505,0.365269461077844,0.010062893081761,0.428343313373253,0.0111731843575419
"565","1654",1063,0,0,0,0
"566","999",1708,0.0240046838407494,0,0.0427400468384075,0
"567","3863",2749,0.212077118952346,0,0.24081484176064,0.0052707235265932
"568","846",2043,0,0,0,0
"569","4192",3143,0.0349984091632199,0,0.0378619153674833,0
"570","3722",2256,0.219858156028369,0.00738636363636364,0.24290780141844,0.00761124121779859
"571","4726",795,0.00251572327044025,0,0.00251572327044025,0
"572","4326",3321,0.0129479072568503,0.00183038438071995,0.019873532068654,0.00184331797235023
"573","889",1785,0.00560224089635854,0,0.0235294117647059,0
"574","3304",2580,0.0155038759689922,0,0.0155038759689922,0
"575","965",2390,0,0,0,0
"576","4039",2418,0.330024813895782,0.00864197530864197,0.413978494623656,0.00988002822865208
