"","grid","START","AFTER PRIMMARY EXTINCTIONS","AFTER SECONDARY EXTINCTIONS","FUTURE AFTER PRIMMARY EXTINCTIONS","FUTURE AFTER SECONDARY EXTINCTIONS"
"1","1863",1320,0,0,0,0
"2","1887",2696,0.0986646884272997,0.00329218106995885,0.00990916597853014,0.00333611342785655
"3","136",79,0,0,0,0
"4","4138",2674,0.0568436798803291,0,0.013877874702617,0
"5","3564",2632,0,0,0,0
"6","2736",2265,0.0428256070640177,0,0.00738007380073801,0
"7","2218",2380,0.00798319327731092,0,0,0
"8","1163",2745,0.00510018214936248,0,0,0
"9","1655",1127,0,0,0,0
"10","510",1861,0,0,0,0
"11","2392",3060,0,0,0.00359477124183007,0
"12","4211",260,0,0,0,0
"13","2939",1902,0,0,0,0
"14","560",1951,0,0,0,0
"15","3612",2565,0.0300194931773879,0.00281350482315113,0.00201531640467553,0.00282714054927302
"16","1287",2824,0.00956090651558074,0,0,0
"17","1448",1393,0,0,0,0
"18","1980",2477,0.00161485668146952,0,0,0
"19","2673",2966,0.0171948752528658,0.00137221269296741,-0.00137409824802473,0.00137221269296741
"20","4394",1905,0,0,0.0015748031496063,0
"21","2681",2989,0,0,0.00368016058882569,0
"22","1685",2778,0,0,0,0
"23","2099",2602,0.00153727901614143,0,0,0
"24","2857",1923,0,0,0,0
"25","2335",2913,0.0147614143494679,0,0.0132404181184669,0
"26","4600",191,0,0,0,0
"27","4571",1933,0.00310398344542162,0,0,0
"28","1599",1783,0,0,0.00280426247896803,0
"29","997",1959,0.0393057682491067,0,0,0
"30","3367",3353,0.0611392782582762,0.000952986022871665,0.00445151033386328,0.00255509421909933
"31","3116",2491,0.194299478121236,0.00298953662182362,0.0649675162418791,0.00320684126135756
"32","3935",2610,0.0590038314176245,0.00325732899022801,0.00898692810457516,0.00329760923330585
"33","4026",2895,0.147495682210708,0.00243111831442464,0.0674248578391552,0.00261324041811847
"34","3770",2248,0.0765124555160142,0,0.0110789980732177,0
"35","2092",2730,0.00476190476190476,0,0,0
"36","4022",2067,0.1548137397194,0,0.0532341156267888,0
"37","148",10,0,0,0,0
"38","231",137,0,0,0,0
"39","1669",838,0,0,0,0
"40","3456",2632,0.0425531914893617,0,0.0253968253968254,0
"41","2739",2191,0.0529438612505705,0,0.00674698795180723,0
"42","3804",2058,0.213313896987366,0.00370599135268684,0.142591444513329,0.00433839479392625
"43","852",2145,0,0,0,0
"44","4415",2295,0.016557734204793,0.00221533008418254,0.00621669626998224,0.00223413762287757
"45","3180",2195,0.0993166287015945,0,0.0171977744056651,0
"46","2957",2023,0.534849233811172,0.00743889479277365,0.337259100642398,0.0161550888529887
"47","3582",2188,0.162248628884826,0,0.00927441352973268,0.00330396475770925
"48","1170",1724,0.0487238979118329,0,0.0323170731707317,0
"49","2226",355,0,0,0,0
"50","621",2297,0,0,0,0
"51","4355",2455,0.203665987780041,0.0020460358056266,0.0297283444387494,0.00581088219756999
"52","1885",2503,0.0491410307630843,0.000840336134453782,0.0126156433978133,0.000851788756388416
"53","3811",2877,0.475842891901286,0.00795755968169761,0.106283422459893,0.00822737471952132
"54","3913",2991,0.13674356402541,0,0.0271107668474051,0
"55","4009",2009,0.201592832254853,0,0.0461346633416459,0
"56","4131",2860,0.0702797202797203,0,0.048890560361038,0
"57","2074",2522,0.0475812846946868,0.000832639467110741,0.0129166666666667,0.000844238075137189
"58","493",1307,0,0,0,0
"59","4361",3041,0.0305820453798093,0.00169606512890095,0.00645599728168536,0.00170998632010944
"60","3027",1356,0,0,0,0
"61","1258",2482,0,0,0,0
"62","1156",2754,0.00435729847494553,0,0.0134938001458789,0
"63","3856",2468,0.28484602917342,0.00339943342776204,0.0983513359863559,0.00378310214375788
"64","4555",1589,0.00188797986154814,0,0,0
"65","624",273,0,0,0,0
"66","2320",2929,0.0546261522703995,0.000722282412423258,0.00505963136971449,0.000726480203414457
"67","573",2291,0,0,0,0
"68","306",562,0,0,0,0
"69","239",1112,0,0,0,0
"70","3748",2001,0,0,0,0
"71","1333",2688,0,0,0,0
"72","1307",1253,0,0,0,0
"73","3152",2420,0.031404958677686,0.00255972696245734,-0.00128314798973482,0.00256300726185391
"74","240",1170,0,0,0,0
"75","1608",2542,0,0,0,0
"76","2477",717,0.0278940027894003,0,0,0
"77","233",576,0,0,0,0
"78","2069",2514,0.060461416070008,0.000846740050804403,0.00593220338983051,0.000852514919011083
"79","3134",3033,0.00461589185624794,0,0.0132494203378602,0.00134273246055723
"80","1606",2583,0,0,0.00309717382888115,0
"81","126",74,0,0,0,0
"82","165",80,0,0,0,0
"83","428",1688,0,0,0,0
"84","4732",139,0,0,0,0
"85","75",9,0,0,0,0
"86","2895",2049,0.0610053684724256,0.00155925155925156,0.00468505986465383,0.00156903765690377
"87","2105",1999,0,0,0,0
"88","1798",1383,0,0,0,0
"89","4189",2814,0.0387348969438522,0,0.0125693160813309,0
"90","4685",2125,0.0127058823529412,0,0.0100095328884652,0
"91","1805",1603,0,0,0,0
"92","1677",2526,0,0,0,0
"93","4081",1972,0.198275862068966,0.00379506641366224,0.0222222222222222,0.0038961038961039
"94","4249",2876,0.0573713490959666,0,0.00848395426042051,0
"95","117",47,0,0,0,0
"96","3195",2372,0.273608768971332,0.00696459663377829,0.151957919345412,0.00827015851137147
"97","2690",2926,0.00136705399863295,0,0,0
"98","1300",1514,0,0,0,0
"99","1048",1273,0,0,0,0
"100","3782",2665,0.0386491557223265,0.00273224043715847,0.00352250489236791,0.00274941084053417
"101","3688",3215,0,0,0.0136858475894246,0.000946073793755913
"102","4140",2458,0.292514239218877,0.00287521564117309,0.106689734717416,0.00322788896061975
"103","712",2199,0,0,0,0
"104","3868",2726,0.383712399119589,0.0101190476190476,0.13950691521347,0.0118798043326345
"105","2445",2865,0.0862129144851658,0.00114591291061879,0.00420650095602294,0.00115207373271889
"106","1520",1736,0.00460829493087558,0,0,0
"107","1112",1370,0.00583941605839416,0,0,0
"108","3384",2559,0.0152403282532239,0,0,0
"109","4334",2835,0.108289241622575,0.00118670886075949,0.0118811881188119,0.00120240480961924
"110","1786",1923,0.0078003120124805,0,0,0
"111","3647",2252,0.202486678507993,0.00501113585746102,0.000559597090095132,0.00503919372900336
"112","4172",3203,0.0287230721198876,0.00128576020572163,-0.00128741551335694,0.00128576020572163
"113","1381",2185,0.0462242562929062,0,0.036468330134357,0
"114","1950",2338,0.103079555175364,0.00381497377205532,0.00765916706558162,0.00385914134105162
"115","2558",1402,0.0178316690442225,0,0.0181554103122731,0
"116","4351",914,0.00109409190371991,0,0,0
"117","1615",2804,0,0,0,0
"118","2934",1895,0,0,0,0
"119","24",2,0,0,0,0
"120","3504",2306,0.123156981786644,0.0029673590504451,0.0451388888888889,0.00311688311688312
"121","1781",2483,0.00684655658477648,0,0,0
"122","2990",3007,0.0392417692051879,0.00103842159916926,-0.00103950103950104,0.00103842159916926
"123","491",1234,0,0,0,0
"124","2982",3103,0.0367386400257815,0.00100368016058883,0.0107166778298727,0.0010155721056195
"125","980",2668,0,0,0,0
"126","4715",1110,0,0,0,0
"127","3192",2392,0.139632107023411,0,0.0189504373177843,0.00297176820208024
"128","168",528,0,0,0,0
"129","1439",1271,0,0,0,0
"130","2678",3183,0.00345585925227773,0,0,0
"131","1224",2938,0.00408441116405718,0,0,0
"132","2051",1309,0,0,0,0
"133","1398",2812,0,0,0,0
"134","3400",2800,0.0132142857142857,0,0.001085776330076,0
"135","134",6,0,0,0,0
"136","1005",2258,0,0,0,0
"137","291",1341,0,0,0,0
"138","189",530,0,0,0,0
"139","3642",2119,0.338839075035394,0.00642398286937901,0.123563218390805,0.00737704918032787
"140","3437",2692,0.107726597325409,0.00208159866777685,0.00750938673341677,0.00210172341319882
"141","2313",2570,0.045136186770428,0.00122249388753056,0.011015911872705,0.00123762376237624
"142","3083",2305,0.0338394793926247,0.00269420745397396,0.00270148581719946,0.00270880361173815
"143","1060",2054,0.0374878286270691,0,0,0
"144","4201",2104,0.0152091254752852,0,0,0
"145","4048",2610,0.075095785440613,0.00124275062137531,0.0107839070924927,0.00125786163522013
"146","1298",1357,0.0375829034635225,0,0,0
"147","1721",257,0,0,0,0
"148","2239",1767,0.0922467458970006,0,0.013715710723192,0.00316055625790139
"149","105",43,0,0,0,0
"150","4318",3169,0.0287156831808141,0.00129954515919428,0.0117111255692908,0.00131665569453588
"151","2264",3086,0,0,0.00324044069993519,0
"152","972",2469,0,0,0,0
"153","3543",2852,0.0385694249649369,0.00291757840991977,0.00768105340160936,0.00294876520457059
"154","4311",2469,0.229647630619684,0.00525762355415352,0.0295983086680761,0.00544662309368192
"155","2312",2596,0.0177195685670262,0.00117647058823529,0.0137416568511975,0.00119426751592357
"156","2930",2455,0.0236252545824847,0,0,0
"157","3988",2644,0.0173978819969743,0,0,0
"158","2267",2924,0.00376196990424077,0,0,0
"159","1559",2942,0.00475866757307954,0,0,0
"160","2602",3047,0.0036101083032491,0,0,0
"161","3531",2525,0.0304950495049505,0.00245098039215686,0.00163800163800164,0.00246103363412633
"162","4386",2186,0.0105215004574565,0,0,0
"163","4447",2636,0.00227617602427921,0,0.0129277566539924,0
"164","2294",1158,0,0,0,0
"165","2060",1524,0.0675853018372703,0,0.0380014074595355,0
"166","1527",2074,0.0930568948891032,0.0026581605528974,-0.00266524520255864,0.0026581605528974
"167","2476",553,0,0,0,0
"168","4651",2228,0.00987432675044883,0,0.00181323662737987,0
"169","61",29,0,0,0,0
"170","3829",2608,0.0429447852760736,0.00120192307692308,0.0104292017649418,0.00121605188488042
"171","661",2140,0,0,0,0
"172","1648",25,0,0,0,0
"173","3065",2828,0.00353606789250354,0,0.00106458481192335,0
"174","4573",384,0,0,0,0
"175","600",1426,0,0,0,0
"176","3332",1757,0.0745589072282299,0,0.017220172201722,0
"177","3664",1817,0.0682443588332416,0,0.0177200236266982,0
"178","4382",2544,0.821933962264151,0.0176600441501104,0.121348314606742,0.020460358056266
"179","4168",3071,0.0166069684141973,0,0,0
"180","341",592,0,0,0,0
"181","4371",1082,0,0,0,0
"182","718",2383,0,0,0,0
"183","3915",2765,0.330922242314647,0.00486486486486486,0.0570342205323194,0.00518433179723502
"184","2154",2552,0.00156739811912226,0,0,0
"185","175",777,0,0,0,0
"186","3692",2131,0,0,0,0
"187","166",87,0,0,0,0
"188","4596",1088,0,0,0.00183823529411765,0
"189","4693",831,0,0,0,0
"190","1908",2721,0,0,0,0
"191","448",1255,0,0,0,0
"192","1773",2564,0.0015600624024961,0,0.00390625,0
"193","791",1872,0,0,0,0
"194","4531",2949,0.050186503899627,0,0.00678329168154231,0
"195","3578",2113,0.379081874112636,0.00685975609756098,0.14735226400614,0.0081008100810081
"196","3030",1936,0.0428719008264463,0,0.0145709660010793,0.00328587075575027
"197","2574",2195,0.0505694760820046,0,0,0
"198","2505",2160,0.0425925925925926,0,0.0130560928433269,0
"199","2836",3070,0.135504885993485,0.00301431801055011,0.0393046107331822,0.003147128245476
"200","3851",2176,0.185661764705882,0.00338600451467269,0.0260475651189128,0.00348837209302326
"201","3503",2338,0.24251497005988,0.00338791643139469,0.0912181303116147,0.00374064837905237
"202","3319",2718,0.00183958793230316,0,0,0
"203","3910",2703,0.216796152423233,0.00283419933868682,0.0667929891046897,0.00304568527918782
"204","2435",2078,0.0818094321462945,0,0.0241090146750524,0
"205","3467",2437,0,0,0,0
"206","3847",2457,0,0,0,0
"207","9",1,0,0,0,0
"208","110",5,0,0,0,0
"209","1810",1505,0.0418604651162791,0,0.0131761442441054,0
"210","1206",2499,0,0,0,0
"211","1097",2821,0,0,0,0
"212","2210",2798,0.00536097212294496,0,0.0132950053898671,0
"213","1164",2776,0.00504322766570605,0,0,0
"214","384",1550,0,0,0,0
"215","4134",3126,0.256557901471529,0,0.0615318416523236,0
"216","677",1179,0,0,0,0
"217","77",6,0,0,0,0
"218","410",1204,0,0,0,0
"219","866",2275,0,0,0,0
"220","34",3,0,0,0,0
"221","2299",1162,0,0,0,0
"222","3725",2334,0.0621251071122536,0.00228414801279123,-0.00228937728937729,0.00228414801279123
"223","867",2363,0,0,0,0
"224","3204",2853,0.0574833508587452,0.00111565637783563,0.00930752047654505,0.00112739571589628
"225","3119",2711,0.270011066027296,0.00606366851945427,0.0508388408744281,0.00642742367434387
"226","4323",3691,0.062855594689786,0,0.0216825672159584,0.00354609929078014
"227","4409",2731,0.0161113145367997,0.00111648678823967,0.00633383010432191,0.00112485939257593
"228","4174",3219,0.0375893134513824,0.0012911555842479,0.00517129928894635,0.000974658869395711
"229","3609",2616,0.0328746177370031,0.00158102766798419,0.00554235946159937,0.00119426751592357
"230","3953",1830,0.187978142076503,0,0.0100942126514132,0
"231","2314",2650,0.100754716981132,0.00125891733109526,0.000840336134453782,0.00126156433978133
"232","1936",1507,0,0,0,0
"233","3205",2933,0.0981929764745994,0.00302457466918715,0.0178232840348881,0.00308880308880309
"234","432",1731,0,0,0,0
"235","3541",2908,0.0371389270976616,0.00285714285714286,0.00107449856733524,0.00286841161706705
"236","272",1579,0,0,0,0
"237","4283",2212,0.149186256781193,0.00212539851222104,0.0420660276890309,0.00222345747637576
"238","3291",3239,0.0166718122877431,0.00125588697017268,0.0119459289531594,0.00127266942411709
"239","50",29,0,0,0,0
"240","2157",2554,0.00156617071260767,0,0,0
"241","499",1480,0,0,0,0
"242","3158",2100,0.00952380952380952,0,0,0
"243","2501",2154,0.0292479108635097,0,0.0133907221425155,0
"244","1631",2949,0,0,0.00373007799253984,0
"245","4518",649,0.00770416024653313,0,0,0
"246","111",2,0,0,0,0
"247","4339",2595,0.0786127167630058,0,0.0506064408197407,0.0013215859030837
"248","2689",2871,0.00104493207941484,0,0,0
"249","4556",346,0,0,0,0
"250","1684",2836,0,0,0,0
"251","4439",2181,0.219624025676295,0.00646298472385429,0.0348905972797161,0.00674019607843137
"252","2287",478,0,0,0,0
"253","4426",2224,0.0112410071942446,0,0.00181900864029104,0
"254","4408",3341,0.13708470517809,0.00346860908775581,0.0424643230073094,0.00363504180298073
"255","1999",1675,0.0955223880597015,0,0.0118811881188119,0
"256","2333",2810,0.00498220640569395,0,0,0
"257","1777",2434,0.0525883319638455,0,0,0
"258","1762",2941,0,0,0.00374022441346481,0
"259","4648",1300,0,0,0,0
"260","567",2051,0,0,0,0
"261","509",1813,0,0,0,0
"262","3858",2827,0.648390519985851,0.0120724346076459,0.286150712830957,0.014265335235378
"263","4083",2529,0.26769474100435,0.00323974082073434,0.0628385698808234,0.00346820809248555
"264","3227",2374,0.0012636899747262,0,0,0
"265","2861",1962,0,0,0,0
"266","455",1316,0,0,0,0
"267","881",1310,0,0,0,0
"268","179",80,0,0,0,0
"269","735",1676,0,0,0,0
"270","2062",1607,0.0416925948973242,0,0,0
"271","3021",1148,0,0,0,0
"272","2632",722,0.0304709141274238,0,0,0
"273","65",9,0,0,0,0
"274","4591",2193,0.179662562699498,0.00833796553640912,0.070067264573991,0.00843881856540084
"275","4092",2479,0.237999193223074,0,0.026998411858126,0.00272034820457019
"276","1372",1639,0,0,0,0
"277","2823",2065,0.0673123486682809,0.00155763239875389,0.0062402496099844,0.00156985871271586
"278","3523",3053,0.0890926957091386,0.00287666307083783,0.0317345834835918,0.00297951582867784
"279","3965",2859,0.168240643581672,0,0.0412111017661901,0
"280","36",22,0,0,0,0
"281","4260",2400,0.1425,0.00194363459669582,0.0628042843232717,0.00207792207792208
"282","3569",2606,0,0,0,0
"283","380",751,0,0,0,0
"284","1427",2863,0.005588543485854,0,0,0
"285","3899",1665,0.0438438438438438,0,0.0131909547738693,0
"286","3765",2034,0.0452310717797443,0,0,0
"287","1454",2047,0.0542256961406937,0,0.00619834710743802,0.00311850311850312
"288","3208",3288,0.0504866180048662,0.000960922485586163,0.00480923372875922,0.00257731958762887
"289","2855",2482,0.00201450443190975,0,0.00767056923698022,0
"290","3887",2951,0.0518468315825144,0.00107219442458899,0.0336314847942755,0.00296186597556461
"291","2500",2083,0,0,0,0
"292","3848",1835,0,0,0,0
"293","3380",2651,0.031686156167484,0.00350603817686015,-0.0019546520719312,0.00351150994927819
"294","1641",2802,0.00606709493219129,0,0,0
"295","3857",2779,0.375674703130623,0.00345821325648415,0.144592249855408,0.00405679513184584
"296","1569",2744,0.00619533527696793,0,0,0
"297","2120",1444,0.0678670360110803,0,0.0386329866270431,0
"298","4308",2612,0.561638591117917,0.00524017467248908,0.332748024582968,0.0157894736842105
"299","1746",2625,0.0632380952380952,0.00366002440016267,0.0289795918367347,0.00336275746111812
"300","1124",2163,0.0194174757281553,0,0,0
"301","2131",2547,0.0549666274047899,0.000830909846281678,0.0116424116424116,0.000841396718552798
"302","3131",3251,0.0630575207628422,0.00262639527248851,0.032916392363397,0.00272294077603812
"303","444",901,0,0,0,0
"304","549",1339,0,0,0,0
"305","3141",2691,0.0301003344481605,0.00153256704980843,0,0.00153491941673062
"306","825",1466,0,0,0.00682128240109141,0
"307","278",572,0,0,0,0
"308","1500",2514,0.00636435958631663,0,0,0
"309","4487",991,0,0,0,0
"310","4013",2734,0.0526700804681785,0,0.0204633204633205,0
"311","2412",705,0,0,0,0
"312","773",1382,0,0,0,0
"313","422",1363,0,0,0,0
"314","2075",2702,0.0384900074019245,0.000769822940723634,0.0061633281972265,0.000775193798449612
"315","4125",2115,0.123404255319149,0,0.0431499460625674,0
"316","2843",2881,0.001041305102395,0,0.0138985406532314,0.00140944326990839
